Date,Open,High,Low,Close,Volume
2024-12-01,3420,3440,3415,3435,502000
2024-12-02,3435,3450,3430,3445,480000
2024-12-03,3445,3460,3438,3455,510000
2024-12-04,3455,3475,3450,3465,530000
2024-12-05,3465,3470,3455,3460,490000
2024-12-08,3460,3480,3458,3475,550000
2024-12-09,3475,3490,3470,3485,600000
2024-12-10,3485,3500,3480,3495,620000
2024-12-11,3495,3510,3490,3505,580000
2024-12-12,3505,3525,3500,3515,590000
2024-12-15,3515,3530,3510,3520,540000
2024-12-16,3520,3540,3515,3535,610000
2024-12-17,3535,3550,3530,3545,630000
2024-12-18,3545,3560,3540,3550,580000
2024-12-19,3550,3575,3545,3565,650000
2024-12-22,3565,3580,3560,3570,600000
2024-12-23,3570,3590,3565,3585,670000
2024-12-24,3585,3600,3580,3595,700000
2024-12-25,3600,3610,3590,3605,710000
2024-12-26,3605,3620,3600,3615,720000
2024-12-29,3615,3630,3610,3625,690000
2024-12-30,3625,3640,3620,3635,710000
2024-12-31,3635,3650,3630,3645,730000
2025-01-01,3645,3660,3640,3655,750000
2025-01-02,3655,3670,3650,3665,760000
2025-01-05,3665,3680,3660,3675,740000
2025-01-06,3675,3690,3670,3685,770000
2025-01-07,3685,3700,3680,3695,790000
2025-01-08,3695,3710,3690,3705,800000
